"","id","date","tavg"
"353","RSM00037472",2013-12-19,NA
"354","RSM00037472",2013-12-20,NA
"355","RSM00037472",2013-12-21,NA
"356","RSM00037472",2013-12-22,NA
"357","RSM00037472",2013-12-23,NA
"358","RSM00037472",2013-12-24,NA
"359","RSM00037472",2013-12-25,NA
"360","RSM00037472",2013-12-26,NA
"361","RSM00037472",2013-12-27,NA
"362","RSM00037472",2013-12-28,NA
"363","RSM00037472",2013-12-29,NA
"364","RSM00037472",2013-12-30,NA
"365","RSM00037472",2013-12-31,NA
"366","RSM00037472",2014-01-01,NA
"367","RSM00037472",2014-01-02,NA
"368","RSM00037472",2014-01-03,NA
"369","RSM00037472",2014-01-04,NA
"370","RSM00037472",2014-01-05,NA
"371","RSM00037472",2014-01-06,NA
"372","RSM00037472",2014-01-07,NA
"373","RSM00037472",2014-01-08,NA
"374","RSM00037472",2014-01-09,NA
"375","RSM00037472",2014-01-10,NA
"376","RSM00037472",2014-01-11,NA
"377","RSM00037472",2014-01-12,NA
"378","RSM00037472",2014-01-13,NA
"379","RSM00037472",2014-01-14,NA
"380","RSM00037472",2014-01-15,NA
"381","RSM00037472",2014-01-16,NA
"382","RSM00037472",2014-01-17,NA
"383","RSM00037472",2014-01-18,NA
"384","RSM00037472",2014-01-19,NA
"385","RSM00037472",2014-01-20,NA
"386","RSM00037472",2014-01-21,NA
"387","RSM00037472",2014-01-22,NA
"388","RSM00037472",2014-01-23,NA
"389","RSM00037472",2014-01-24,NA
"390","RSM00037472",2014-01-25,NA
"391","RSM00037472",2014-01-26,NA
"392","RSM00037472",2014-01-27,NA
"393","RSM00037472",2014-01-28,NA
"394","RSM00037472",2014-01-29,NA
"395","RSM00037472",2014-01-30,NA
"396","RSM00037472",2014-01-31,NA
"397","RSM00037472",2014-02-01,NA
"398","RSM00037472",2014-02-02,NA
"399","RSM00037472",2014-02-03,NA
"400","RSM00037472",2014-02-04,NA
"401","RSM00037472",2014-02-05,NA
"402","RSM00037472",2014-02-06,NA
"403","RSM00037472",2014-02-07,NA
"404","RSM00037472",2014-02-08,NA
"405","RSM00037472",2014-02-09,NA
"406","RSM00037472",2014-02-10,NA
"407","RSM00037472",2014-02-11,NA
"408","RSM00037472",2014-02-12,NA
"409","RSM00037472",2014-02-13,NA
"410","RSM00037472",2014-02-14,NA
"411","RSM00037472",2014-02-15,NA
"412","RSM00037472",2014-02-16,NA
"413","RSM00037472",2014-02-17,NA
"414","RSM00037472",2014-02-18,NA
"415","RSM00037472",2014-02-19,NA
"416","RSM00037472",2014-02-20,NA
"417","RSM00037472",2014-02-21,NA
"418","RSM00037472",2014-02-22,NA
"419","RSM00037472",2014-02-23,NA
"420","RSM00037472",2014-02-24,NA
"421","RSM00037472",2014-02-25,NA
"422","RSM00037472",2014-02-26,NA
"423","RSM00037472",2014-02-27,NA
"424","RSM00037472",2014-02-28,NA
"425","RSM00037472",2014-03-01,NA
"426","RSM00037472",2014-03-02,NA
"427","RSM00037472",2014-03-03,NA
"428","RSM00037472",2014-03-04,NA
"429","RSM00037472",2014-03-05,NA
"430","RSM00037472",2014-03-06,NA
"431","RSM00037472",2014-03-07,NA
"432","RSM00037472",2014-03-08,NA
"433","RSM00037472",2014-03-09,NA
"434","RSM00037472",2014-03-10,NA
"435","RSM00037472",2014-03-11,NA
"436","RSM00037472",2014-03-12,NA
"437","RSM00037472",2014-03-13,NA
"438","RSM00037472",2014-03-14,NA
"439","RSM00037472",2014-03-15,NA
"440","RSM00037472",2014-03-16,NA
"441","RSM00037472",2014-03-17,NA
"442","RSM00037472",2014-03-18,NA
"443","RSM00037472",2014-03-19,NA
"444","RSM00037472",2014-03-20,NA
"445","RSM00037472",2014-03-21,NA
"446","RSM00037472",2014-03-22,NA
"447","RSM00037472",2014-03-23,NA
"448","RSM00037472",2014-03-24,NA
"449","RSM00037472",2014-03-25,NA
"450","RSM00037472",2014-03-26,NA
"451","RSM00037472",2014-03-27,NA
"452","RSM00037472",2014-03-28,NA
"453","RSM00037472",2014-03-29,NA
"454","RSM00037472",2014-03-30,NA
"455","RSM00037472",2014-03-31,NA
"456","RSM00037472",2014-04-01,6.9
"457","RSM00037472",2014-04-02,4.2
"458","RSM00037472",2014-04-03,3.8
"459","RSM00037472",2014-04-04,5
"460","RSM00037472",2014-04-05,6.7
"461","RSM00037472",2014-04-06,6.9
"462","RSM00037472",2014-04-07,7
"463","RSM00037472",2014-04-08,8.6
"464","RSM00037472",2014-04-09,11.3
"465","RSM00037472",2014-04-10,11.6
"466","RSM00037472",2014-04-11,8.9
"467","RSM00037472",2014-04-12,8.3
"468","RSM00037472",2014-04-13,8.6
"469","RSM00037472",2014-04-14,9.3
"470","RSM00037472",2014-04-15,9.9
"471","RSM00037472",2014-04-16,10.2
"472","RSM00037472",2014-04-17,12.5
"473","RSM00037472",2014-04-18,11
"474","RSM00037472",2014-04-19,13.1
"475","RSM00037472",2014-04-20,12.2
"476","RSM00037472",2014-04-21,13.9
"477","RSM00037472",2014-04-22,NA
"478","RSM00037472",2014-04-23,16.8
"479","RSM00037472",2014-04-24,16.1
"480","RSM00037472",2014-04-25,9.8
"481","RSM00037472",2014-04-26,NA
"482","RSM00037472",2014-04-27,11.1
"483","RSM00037472",2014-04-28,11.9
"484","RSM00037472",2014-04-29,13.4
"485","RSM00037472",2014-04-30,16.4
"486","RSM00037472",2014-05-01,14.3
"487","RSM00037472",2014-05-02,18.7
"488","RSM00037472",2014-05-03,16.3
"489","RSM00037472",2014-05-04,16.1
"490","RSM00037472",2014-05-05,15.2
"491","RSM00037472",2014-05-06,18
"492","RSM00037472",2014-05-07,16.4
"493","RSM00037472",2014-05-08,NA
